tensor(3.8261, device='cuda:0')
tensor(2.9675, device='cuda:0')
tensor(2.6465, device='cuda:0')
tensor(2.5982, device='cuda:0')
tensor(2.3192, device='cuda:0')
tensor(2.3183, device='cuda:0')
tensor(2.3006, device='cuda:0')
tensor(2.4154, device='cuda:0')
tensor(1.9852, device='cuda:0')
tensor(1.9840, device='cuda:0')
tensor(1.9868, device='cuda:0')
tensor(1.9233, device='cuda:0')
tensor(1.9699, device='cuda:0')
tensor(1.9622, device='cuda:0')
tensor(1.7890, device='cuda:0')
tensor(1.7890, device='cuda:0')
tensor(1.7984, device='cuda:0')
tensor(2.5873, device='cuda:0')
tensor(1.6062, device='cuda:0')
tensor(1.7648, device='cuda:0')
tensor(1.5661, device='cuda:0')
tensor(1.6447, device='cuda:0')
tensor(1.3751, device='cuda:0')
tensor(1.3726, device='cuda:0')
tensor(1.4972, device='cuda:0')
tensor(1.3396, device='cuda:0')
tensor(1.3343, device='cuda:0')
tensor(1.3889, device='cuda:0')
tensor(1.4661, device='cuda:0')
tensor(1.4727, device='cuda:0')
tensor(1.1680, device='cuda:0')
tensor(1.3610, device='cuda:0')
tensor(1.4045, device='cuda:0')
tensor(1.4419, device='cuda:0')
tensor(1.6608, device='cuda:0')
tensor(1.5871, device='cuda:0')
tensor(1.2755, device='cuda:0')
tensor(1.4469, device='cuda:0')
tensor(1.2518, device='cuda:0')
tensor(1.3127, device='cuda:0')
tensor(1.3623, device='cuda:0')
tensor(1.3128, device='cuda:0')
tensor(1.4110, device='cuda:0')
tensor(1.3953, device='cuda:0')
tensor(1.5293, device='cuda:0')
tensor(1.3957, device='cuda:0')
tensor(1.4078, device='cuda:0')
tensor(1.4987, device='cuda:0')
tensor(1.5397, device='cuda:0')
tensor(1.4042, device='cuda:0')
