loss : tensor(3.5617, device='cuda:0')   entropy : tensor(3.6728, device='cuda:0')
loss : tensor(2.9245, device='cuda:0')   entropy : tensor(3.5626, device='cuda:0')
loss : tensor(2.7414, device='cuda:0')   entropy : tensor(3.4986, device='cuda:0')
loss : tensor(2.5877, device='cuda:0')   entropy : tensor(3.3967, device='cuda:0')
loss : tensor(3.6018, device='cuda:0')   entropy : tensor(3.6797, device='cuda:0')
loss : tensor(2.8152, device='cuda:0')   entropy : tensor(3.5560, device='cuda:0')
loss : tensor(2.7244, device='cuda:0')   entropy : tensor(3.4828, device='cuda:0')
loss : tensor(3.6536, device='cuda:0')   entropy : tensor(3.6615, device='cuda:0')
loss : tensor(3.0125, device='cuda:0')   entropy : tensor(3.4984, device='cuda:0')
loss : tensor(2.9423, device='cuda:0')   entropy : tensor(3.4183, device='cuda:0')
loss : tensor(2.7744, device='cuda:0')   entropy : tensor(3.3565, device='cuda:0')
loss : tensor(2.7853, device='cuda:0')   entropy : tensor(3.2992, device='cuda:0')
loss : tensor(2.5284, device='cuda:0')   entropy : tensor(3.1732, device='cuda:0')
loss : tensor(2.5129, device='cuda:0')   entropy : tensor(3.1003, device='cuda:0')
loss : tensor(2.6053, device='cuda:0')   entropy : tensor(3.0471, device='cuda:0')
loss : tensor(3.6700, device='cuda:0')   entropy : tensor(3.6943, device='cuda:0')
loss : tensor(2.9884, device='cuda:0')   entropy : tensor(3.5744, device='cuda:0')
loss : tensor(2.6686, device='cuda:0')   entropy : tensor(3.4460, device='cuda:0')
loss : tensor(2.6849, device='cuda:0')   entropy : tensor(3.3386, device='cuda:0')
loss : tensor(2.3843, device='cuda:0')   entropy : tensor(3.2704, device='cuda:0')
loss : tensor(2.5498, device='cuda:0')   entropy : tensor(3.1503, device='cuda:0')
loss : tensor(2.4245, device='cuda:0')   entropy : tensor(3.0467, device='cuda:0')
loss : tensor(2.4277, device='cuda:0')   entropy : tensor(2.9663, device='cuda:0')
loss : tensor(2.4258, device='cuda:0')   entropy : tensor(2.9089, device='cuda:0')
loss : tensor(2.3949, device='cuda:0')   entropy : tensor(2.8325, device='cuda:0')
loss : tensor(2.3487, device='cuda:0')   entropy : tensor(2.7735, device='cuda:0')
loss : tensor(2.2773, device='cuda:0')   entropy : tensor(2.7011, device='cuda:0')
loss : tensor(2.2165, device='cuda:0')   entropy : tensor(2.6069, device='cuda:0')
loss : tensor(2.2776, device='cuda:0')   entropy : tensor(2.5667, device='cuda:0')
loss : tensor(3.6961, device='cuda:0')   entropy : tensor(3.6940, device='cuda:0')
loss : tensor(2.6724, device='cuda:0')   entropy : tensor(3.6650, device='cuda:0')
loss : tensor(2.7057, device='cuda:0')   entropy : tensor(3.6461, device='cuda:0')
loss : tensor(2.8440, device='cuda:0')   entropy : tensor(3.6133, device='cuda:0')
loss : tensor(3.6113, device='cuda:0')   entropy : tensor(3.7204, device='cuda:0')
loss : tensor(3.6800, device='cuda:0')   entropy : tensor(3.7106, device='cuda:0')
loss : tensor(3.1372, device='cuda:0')   entropy : tensor(3.6830, device='cuda:0')
